x1,x2,x3,x4,x5,x6,y,,,,,,
epoxy,c,0.527,125,15,18.9,7.90E-06,,,,,,
epoxy,c,0.527,125,30,18.9,1.38E-05,,,,,,
epoxy,c,0.527,125,45,18.9,1.60E-05,,,,,,
epoxy,c,0.527,125,60,18.9,1.71E-05,,,,,,
epoxy,c,0.527,125,90,18.9,1.46E-05,,,,,x1=,matrix
epoxy,c,0.527,125,15,18.9,9.21E-06,,,,,x2=,fibre
epoxy,c,0.527,125,30,18.9,1.51E-05,,,,,x3=,volume fraction
epoxy,c,0.527,125,45,18.9,1.68E-05,,,,,x4=,particle size
epoxy,c,0.527,125,60,18.9,1.79E-05,,,,,x5=,impact angle
epoxy,c,0.527,125,90,18.9,1.46E-05,,,,,x6=,impact velocity
epoxy,c,0.527,125,15,34.6,4.94E-06,,,,,,
epoxy,c,0.527,125,30,34.6,7.73E-06,,,,,,
epoxy,c,0.527,125,45,34.6,9.38E-06,,,,,,
epoxy,c,0.527,125,60,34.6,9.21E-06,,,,,,
epoxy,c,0.527,125,90,34.6,8.06E-06,,,,,,
epoxy,c,0.527,125,15,34.6,5.10E-06,,,,,,
epoxy,c,0.527,125,30,34.6,8.39E-06,,,,,,
epoxy,c,0.527,125,45,34.6,9.54E-06,,,,,,
epoxy,c,0.527,125,60,34.6,9.38E-06,,,,,,
epoxy,c,0.527,125,90,34.6,8.06E-06,,,,,,
epoxy,c,0.527,125,15,55.7,0.00019233,,,,,,
epoxy,c,0.527,125,30,55.7,0.000312268,,,,,,
epoxy,c,0.527,125,45,55.7,0.000401606,,,,,,
epoxy,c,0.527,125,60,55.7,0.000429904,,,,,,
epoxy,c,0.527,125,90,55.7,0.000341389,,,,,,
epoxy,c,0.527,125,15,55.7,0.000240042,,,,,,
epoxy,c,0.527,125,30,55.7,0.000363765,,,,,,
epoxy,c,0.527,125,45,55.7,0.000426284,,,,,,
epoxy,c,0.527,125,60,55.7,0.000422171,,,,,,
epoxy,c,0.527,125,90,55.7,0.00033958,,,,,,
epoxy,c,0.488,125,15,34.6,4.69E-06,,,,,,
epoxy,c,0.488,125,30,34.6,8.56E-06,,,,,,
epoxy,c,0.488,125,45,34.6,1.12E-05,,,,,,
epoxy,c,0.488,125,60,34.6,1.15E-05,,,,,,
epoxy,c,0.488,125,90,34.6,0.000011312,,,,,,
epoxy,c,0.488,125,15,34.6,5.82E-06,,,,,,
epoxy,c,0.488,125,30,34.6,9.86E-06,,,,,,
epoxy,c,0.488,125,45,34.6,1.08E-05,,,,,,
epoxy,c,0.488,125,60,34.6,0.000010504,,,,,,
epoxy,c,0.488,125,90,34.6,0.000011312,,,,,,
epoxy,c,0.488,125,15,18.9,7.76E-06,,,,,,
epoxy,c,0.488,125,30,18.9,1.41E-05,,,,,,
epoxy,c,0.488,125,45,18.9,1.83E-05,,,,,,
epoxy,c,0.488,125,60,18.9,2.04E-05,,,,,,
epoxy,c,0.488,125,90,18.9,1.84E-05,,,,,,
epoxy,c,0.488,125,15,18.9,9.21E-06,,,,,,
epoxy,c,0.488,125,30,18.9,1.65E-05,,,,,,
epoxy,c,0.488,125,45,18.9,0.000018584,,,,,,
epoxy,c,0.488,125,60,18.9,0.000019392,,,,,,
epoxy,c,0.488,125,90,18.9,1.84E-05,,,,,,
epoxy,c,0.488,125,15,55.7,0.00018891,,,,,,
epoxy,c,0.488,125,30,55.7,0.000361014,,,,,,
epoxy,c,0.488,125,45,55.7,0.000480598,,,,,,
epoxy,c,0.488,125,60,55.7,0.000542168,,,,,,
epoxy,c,0.488,125,90,55.7,0.000507747,,,,,,
epoxy,c,0.488,125,15,55.7,0.000250803,,,,,,
epoxy,c,0.488,125,30,55.7,0.000409656,,,,,,
epoxy,c,0.488,125,45,55.7,0.000474942,,,,,,
epoxy,c,0.488,125,60,55.7,0.000478336,,,,,,
epoxy,c,0.488,125,90,55.7,0.000505808,,,,,,
epoxy,g,0.68,90,30,70,0.000000732,,,,,,
